Generation	Rep	Treatment	Temp	pH	Hatched	Unhatched	Total	EPRtot	HFtot
0	1	AA	18	8.2	56	0	56	28	1
0	1	AA	18	8.2	73	0	73	36.5	1
0	1	AA	18	8.2	92	2	94	47	0.98
0	1	AA	18	8.2	69	1	70	35	0.99
0	1	AA	18	8.2	66	0	66	33	1
0	1	AA	18	8.2	81	0	81	40.5	1
0	1	AA	18	8.2	0	33	33	16.5	0
0	1	AA	18	8.2	56	1	57	28.5	0.98
0	1	AA	18	8.2	61	0	61	30.5	1
0	1	AA	18	8.2	67	0	67	33.5	1
0	2	AA	18	8.2	26	1	27	13.5	0.96
0	2	AA	18	8.2	88	2	90	45	0.98
0	2	AA	18	8.2	43	18	61	30.5	0.7
0	2	AA	18	8.2	84	0	84	42	1
0	2	AA	18	8.2	105	6	111	55.5	0.95
0	2	AA	18	8.2	139	1	140	70	0.99
0	2	AA	18	8.2	188	0	188	94	1
0	2	AA	18	8.2	89	0	89	44.5	1
0	2	AA	18	8.2	66	2	68	34	0.97
0	2	AA	18	8.2	135	1	136	68	0.99
0	3	AA	18	8.2	93	0	93	46.5	1
0	3	AA	18	8.2	61	7	68	34	0.9
0	3	AA	18	8.2	90	0	90	45	1
0	3	AA	18	8.2	99	1	100	50	0.99
0	3	AA	18	8.2	48	17	65	32.5	0.74
0	3	AA	18	8.2	85	1	86	43	0.99
0	3	AA	18	8.2	66	0	66	33	1
0	3	AA	18	8.2	101	0	101	50.5	1
0	3	AA	18	8.2	115	1	116	58	0.99
0	3	AA	18	8.2	73	0	73	36.5	1
0	4	AA	18	8.2	27	24	51	25.5	0.53
0	4	AA	18	8.2	74	1	75	37.5	0.99
0	4	AA	18	8.2	72	1	73	36.5	0.99
0	4	AA	18	8.2	109	0	109	54.5	1
0	4	AA	18	8.2	85	0	85	42.5	1
0	4	AA	18	8.2	77	2	79	39.5	0.97
0	4	AA	18	8.2	77	0	77	38.5	1
0	4	AA	18	8.2	90	2	92	46	0.98
0	4	AA	18	8.2	82	0	82	41	1
0	1	AH	18	7.5	73	2	75	37.5	0.97
0	1	AH	18	7.5	71	1	72	36	0.99
0	1	AH	18	7.5	89	0	89	44.5	1
0	1	AH	18	7.5	82	0	82	41	1
0	1	AH	18	7.5	54	0	54	27	1
0	1	AH	18	7.5	20	1	21	10.5	0.95
0	1	AH	18	7.5	63	0	63	31.5	1
0	1	AH	18	7.5	41	12	53	26.5	0.77
0	1	AH	18	7.5	40	0	40	20	1
0	1	AH	18	7.5	46	0	46	23	1
0	2	AH	18	7.5	81	2	83	41.5	0.98
0	2	AH	18	7.5	74	7	81	40.5	0.91
0	2	AH	18	7.5	35	0	35	17.5	1
0	2	AH	18	7.5	0	26	26	13	0
0	2	AH	18	7.5	12	2	14	7	0.86
0	2	AH	18	7.5	3	0	3	1.5	1
0	2	AH	18	7.5	56	0	56	28	1
0	2	AH	18	7.5	0	59	59	29.5	0
0	2	AH	18	7.5	59	3	62	31	0.95
0	2	AH	18	7.5	78	0	78	39	1
0	3	AH	18	7.5	70	1	71	35.5	0.99
0	3	AH	18	7.5	58	6	64	32	0.91
0	3	AH	18	7.5	38	8	46	23	0.83
0	3	AH	18	7.5	0	8	8	4	0
0	3	AH	18	7.5	50	0	50	25	1
0	3	AH	18	7.5	44	0	44	22	1
0	3	AH	18	7.5	98	0	98	49	1
0	3	AH	18	7.5	0	5	5	2.5	0
0	3	AH	18	7.5	39	1	40	20	0.98
0	3	AH	18	7.5	100	0	100	50	1
0	4	AH	18	7.5	97	1	98	49	0.99
0	4	AH	18	7.5	5	7	12	6	0.42
0	4	AH	18	7.5	61	0	61	30.5	1
0	4	AH	18	7.5	72	0	72	36	1
0	4	AH	18	7.5	18	7	25	12.5	0.72
0	1	HA	22	8.2	57	4	61	30.5	0.93
0	1	HA	22	8.2	70	0	70	35	1
0	1	HA	22	8.2	0	12	12	6	0
0	1	HA	22	8.2	0	27	27	13.5	0
0	1	HA	22	8.2	37	0	37	18.5	1
0	1	HA	22	8.2	28	0	28	14	1
0	1	HA	22	8.2	40	6	46	23	0.87
0	1	HA	22	8.2	0	26	26	13	0
0	1	HA	22	8.2	22	3	25	12.5	0.88
0	1	HA	22	8.2	59	0	59	29.5	0.98
0	2	HA	22	8.2	57	0	57	28.5	1
0	2	HA	22	8.2	56	0	56	28	1
0	2	HA	22	8.2	50	0	50	25	1
0	2	HA	22	8.2	33	0	33	16.5	1
0	2	HA	22	8.2	50	0	50	25	1
0	2	HA	22	8.2	80	0	80	40	1
0	2	HA	22	8.2	71	0	71	35.5	1
0	2	HA	22	8.2	65	0	65	32.5	1
0	2	HA	22	8.2	0	44	44	22	0
0	2	HA	22	8.2	0	17	17	8.5	0
0	3	HA	22	8.2	85	0	85	42.5	1
0	3	HA	22	8.2	0	47	47	23.5	0
0	3	HA	22	8.2	17	22	39	19.5	0.44
0	3	HA	22	8.2	0	29	29	14.5	0
0	3	HA	22	8.2	0	25	25	12.5	0
0	3	HA	22	8.2	79	0	79	39.5	1
0	3	HA	22	8.2	59	1	60	30	0.98
0	3	HA	22	8.2	59	0	59	29.5	1
0	3	HA	22	8.2	27	3	30	15	0.9
0	3	HA	22	8.2	50	0	50	25	1
0	4	HA	22	8.2	17	0	17	8.5	1
0	4	HA	22	8.2	50	0	50	25	1
0	4	HA	22	8.2	30	1	31	15.5	0.97
0	4	HA	22	8.2	0	29	29	14.5	0
0	1	HH	22	7.5	39	1	40	20	0.98
0	1	HH	22	7.5	11	1	12	6	0.92
0	1	HH	22	7.5	25	0	25	12.5	1
0	1	HH	22	7.5	27	0	27	13.5	1
0	1	HH	22	7.5	23	0	23	11.5	1
0	1	HH	22	7.5	0	17	17	8.5	0
0	1	HH	22	7.5	3	2	5	2.5	0.6
0	1	HH	22	7.5	0	33	33	16.5	0
0	1	HH	22	7.5	0	11	11	5.5	0
0	1	HH	22	7.5	17	1	18	9	0.94
0	2	HH	22	7.5	18	2	20	10	0.9
0	2	HH	22	7.5	0	22	22	11	0
0	2	HH	22	7.5	0	20	20	10	0
0	2	HH	22	7.5	17	4	21	10.5	0.81
0	2	HH	22	7.5	33	0	33	16.5	1
0	2	HH	22	7.5	7	2	9	4.5	0.78
0	2	HH	22	7.5	29	0	29	14.5	1
0	2	HH	22	7.5	15	4	19	9.5	0.79
0	2	HH	22	7.5	41	4	45	22.5	0.91
