Generation	Treatment	Rep	lambda	surv	epr	hf	sex	dev.time	lambda.stand	surv.stand	epr.stand	hf.stand	sex.stand	dev.stand	lambda.rel	surv.rel	epr.rel	hf.rel	sex.rel	dev.rel
0	1	1	1.2135800808303	0.894736842	28	1	0.813725490333333	14	0.438961593461573	1.35171420114806	-0.625931671109948	0.345918775181668			1.14983341639448	1.74897119332983	0.851063829787234	1.11731843575419	1	1
0	1	1	1.23521937471588	0.894736842	36.5	1	0.813725490333333	14	0.499027413858402	1.35171420114806	0.459868166529758	0.345918775181668			1.17033604626609	1.74897119332983	1.10942249240122	1.11731843575419	1	1
0	1	1	1.2545255181488	0.894736842	47	0.98	0.813725490333333	14	0.55261693254274	1.35171420114806	1.80115031890822	0.280029484670874			1.18862808089284	1.74897119332983	1.42857142857143	1.09497206703911	1	1
0	1	1	1.23094350182912	0.894736842	35	0.99	0.813725490333333	14	0.487158550936449	1.35171420114806	0.268256430475692	0.312974129926271			1.16628477547885	1.74897119332983	1.06382978723404	1.10614525139665	1	1
0	1	1	1.22694614404234	0.894736842	33	1	0.813725490333333	14	0.476062783387278	1.35171420114806	0.0127741157369379	0.345918775181668			1.16249739001238	1.74897119332983	1.00303951367781	1.11731843575419	1	1
0	1	1	1.24381246733515	0.894736842	40.5	1	0.813725490333333	14	0.522879909261052	1.35171420114806	0.970832796007266	0.345918775181668			1.17847776282842	1.74897119332983	1.23100303951368	1.11731843575419	1	1
0	1	1	0	0.894736842	16.5	0	0.813725490333333	14	-2.92966418322779	1.35171420114806	-2.09495498085778	-2.94854575035803			0	1.74897119332983	0.501519756838906	0	1	1
0	1	1	1.21337758112871	0.894736842	28.5	0.98	0.813725490333333	14	0.438399499764319	1.35171420114806	-0.562061092425259	0.280029484670874			1.14964155355216	1.74897119332983	0.866261398176292	1.09497206703911	1	1
0	1	1	1.22051904361621	0.894736842	30.5	1	0.813725490333333	14	0.458222595906598	1.35171420114806	-0.306578777686505	0.345918775181668			1.15640789088726	1.74897119332983	0.927051671732523	1.11731843575419	1	1
0	1	1	1.22817680520013	0.894736842	33.5	1	0.813725490333333	14	0.479478822397795	1.35171420114806	0.0766446944216265	0.345918775181668			1.16366340727473	1.74897119332983	1.01823708206687	1.11731843575419	1	1
0	1	1	1.14161341113593	0.4	28	1	0.813725490333333	14	0.239198279590205	-0.393631058524393	-0.625931671109948	0.345918775181668			1.08164699591155	0.781893004168854	0.851063829787234	1.11731843575419	1	1
